itemcode,itemname,,,,,,,
8119,연자육 타락죽 (1인분),,,,,,,
8121,함박스테이크&데미그라스소스,,,,,,,
8126,숙주부추소불고기세트,,,,,,,
8128,시래기돼지고기찜세트,,,,,,,
8129,황태귀리죽(1인분),,,,,,,
8130,흑미전복리소토,,,,,,,
8131,구운템페콥샐러드,,,,,,,
8132,토마토견과카레소스세트,,,,,,,
8133,멕시칸치킨타코샐러드세트,,,,,,,
8135,닭안심미나리페스토구이샐러드세트,,,,,,,
8137,버터구이오징어샐러드세트,,,,,,,
8138,흑미시트러스샐러드세트,,,,,,,
8139,탄두리닭살샐러드세트,,,,,,,
8140,[1Table]한우쇠고기미역국,,,,,,,
8142,유근피닭다리백숙(1인분),,,,,,,
8143,[1Table]갈비낙지볶음밥,,,,,,,
8145,아보카도&케일스무디,,,,,,,
8146,스파이시참치케이퍼샐러드세트,,,,,,,
8148,비프&바질포테이토샐러드,,,,,,,
8149,리코타치즈샐러드(스몰/레귤러),,,,,,,
8150,[1Table]제주흑돼지갈비만두,,,,,,,
8151,[1Table]와규함박스테이크,,,,,,,
8152,[1Table]존쿡델리미트부대찌개,,,,,,,
8154,구운버섯아보카도샐러드세트,,,,,,,
8156,포테이토쉬림프샐러드세트,,,,,,,
8158,불낙볶음세트,,,,,,,
8164,오리도라지볶음세트,,,,,,,
8166,볶음쟁반자장면,,,,,,,
8167,토마토견과카레소스,,,,,,,
